DATE,SYMBOL,Adj Close*,RELATIVE_CHANGE
3/31/2014,DOW JONES,"16,412.71",-0.003477841
3/24/2014,DOW JONES,"16,323.06",-0.008921074
3/17/2014,DOW JONES,"16,302.77",-0.010153012
3/10/2014,DOW JONES,"16,065.67",-0.024548892
3/3/2014,DOW JONES,"16,452.72",-0.001048574
2/24/2014,DOW JONES,"16,321.71",-0.009003041
2/17/2014,DOW JONES,"16,103.30",-0.02226413
2/10/2014,DOW JONES,"16,154.39",-0.019162125
2/3/2014,DOW JONES,"15,794.08",-0.041038883
1/27/2014,DOW JONES,"15,698.85",-0.046820915
1/20/2014,DOW JONES,"15,879.11",-0.03587616
1/13/2014,DOW JONES,"16,458.56",-0.000693989
1/6/2014,DOW JONES,"16,437.05",-0.002000001
1/1/2014,DOW JONES,"16,469.99",0
10/13/2014,NASDAQ100,3815.47,0.078203197
10/6/2014,NASDAQ100,3870.86,0.093855705
9/29/2014,NASDAQ100,4027.31,0.138066481
9/22/2014,NASDAQ100,4053.72,0.145529611
9/15/2014,NASDAQ100,4100.09,0.158633182
9/8/2014,NASDAQ100,4069.23,0.149912539
9/1/2014,NASDAQ100,4089.92,0.15575927
8/25/2014,NASDAQ100,4082.56,0.153679427
8/18/2014,NASDAQ100,4052.75,0.145255501
8/11/2014,NASDAQ100,3987.51,0.126819509
8/4/2014,NASDAQ100,3888.09,0.098724684
7/28/2014,NASDAQ100,3879.67,0.096345299
7/21/2014,NASDAQ100,3965.17,0.120506509
7/14/2014,NASDAQ100,3939.89,0.113362704
7/7/2014,NASDAQ100,3904.58,0.103384548
6/30/2014,NASDAQ100,3923.01,0.108592631
6/23/2014,NASDAQ100,3844.44,0.08638975
6/16/2014,NASDAQ100,3802.64,0.074577603
6/9/2014,NASDAQ100,3775.56,0.06692514
6/2/2014,NASDAQ100,3794.57,0.072297124
5/26/2014,NASDAQ100,3736.82,0.05597771
5/19/2014,NASDAQ100,3677.33,0.039166594
5/12/2014,NASDAQ100,3587.2,0.013697004
5/5/2014,NASDAQ100,3555.7,0.004795506
4/28/2014,NASDAQ100,3587.64,0.013821343
4/21/2014,NASDAQ100,3533.1,-0.001590966
4/14/2014,NASDAQ100,3534.53,-0.001186866
4/7/2014,NASDAQ100,3446.85,-0.025964117
3/31/2014,NASDAQ100,3539.38,0.000183682
3/24/2014,NASDAQ100,3571.49,0.009257559
3/17/2014,NASDAQ100,3653.07,0.032311027
3/10/2014,NASDAQ100,3627.87,0.025189828
3/3/2014,NASDAQ100,3703.4,0.046533643
2/24/2014,NASDAQ100,3696.1,0.044470756
2/17/2014,NASDAQ100,3662.6,0.035004083
2/10/2014,NASDAQ100,3663.88,0.035365795
2/3/2014,NASDAQ100,3561.91,0.006550373
1/27/2014,NASDAQ100,3521.92,-0.004750292
1/20/2014,NASDAQ100,3541.48,0.000777115
1/13/2014,NASDAQ100,3591.25,0.014841483
1/6/2014,NASDAQ100,3565.08,0.007446174
1/1/2014,NASDAQ100,3538.73,0
10/13/2014,DAX,8850.27,-0.061989476
10/6/2014,DAX,8788.81,-0.068503415
9/29/2014,DAX,9195.68,-0.025380625
9/22/2014,DAX,9490.55,0.005871661
9/15/2014,DAX,9799.26,0.038590801
9/8/2014,DAX,9651.13,0.022890998
9/1/2014,DAX,9747.02,0.033054058
8/25/2014,DAX,9470.17,0.003711653
8/18/2014,DAX,9339.17,-0.010172599
8/11/2014,DAX,9092.6,-0.036305729
8/4/2014,DAX,9009.32,-0.045132298
7/28/2014,DAX,9210.08,-0.023854417
7/21/2014,DAX,9644.01,0.022136373
7/14/2014,DAX,9720.02,0.030192419
7/7/2014,DAX,9666.34,0.024503055
6/30/2014,DAX,10009.08,0.060828922
6/23/2014,DAX,9815.17,0.040277049
6/16/2014,DAX,9987.24,0.058514173
6/9/2014,DAX,9912.87,0.050631945
6/2/2014,DAX,9987.19,0.058508874
5/26/2014,DAX,9943.27,0.05385394
5/19/2014,DAX,9768.01,0.035278718
5/12/2014,DAX,9629.1,0.020556112
5/5/2014,DAX,9581.45,0.015505848
4/28/2014,DAX,9556.02,0.012810607
4/21/2014,DAX,9401.55,-0.003561152
4/14/2014,DAX,9409.71,-0.002696301
4/7/2014,DAX,9315.29,-0.012703561
3/31/2014,DAX,9695.77,0.027622242
3/24/2014,DAX,9587.19,0.016114211
3/17/2014,DAX,9342.94,-0.00977303
3/10/2014,DAX,9056.41,-0.040141386
3/3/2014,DAX,9350.75,-0.008945274
2/24/2014,DAX,9692.08,0.027231152
2/17/2014,DAX,9656.95,0.02350784
2/10/2014,DAX,9662.4,0.024085468
2/3/2014,DAX,9301.92,-0.014120602
1/27/2014,DAX,9306.48,-0.013637303
1/20/2014,DAX,9392.02,-0.004571204
1/13/2014,DAX,9742.96,0.032623753
1/6/2014,DAX,9473.24,0.004037032
1/1/2014,DAX,9435.15,0
10/13/2014,SOFTWARE AG,18.09,-0.266720713
10/6/2014,SOFTWARE AG,18.03,-0.269152817
9/29/2014,SOFTWARE AG,18.72,-0.241183624
9/22/2014,SOFTWARE AG,19.03,-0.228617754
9/15/2014,SOFTWARE AG,19.93,-0.192136198
9/8/2014,SOFTWARE AG,20.08,-0.186055938
9/1/2014,SOFTWARE AG,20.03,-0.188082692
8/25/2014,SOFTWARE AG,19.64,-0.203891366
8/18/2014,SOFTWARE AG,19.6,-0.205512769
8/11/2014,SOFTWARE AG,19.25,-0.219700041
8/4/2014,SOFTWARE AG,18.71,-0.241588974
7/28/2014,SOFTWARE AG,18.48,-0.250912039
7/21/2014,SOFTWARE AG,19.25,-0.219700041
7/14/2014,SOFTWARE AG,19.63,-0.204296717
7/7/2014,SOFTWARE AG,24.23,-0.017835428
6/30/2014,SOFTWARE AG,25.51,0.034049453
6/23/2014,SOFTWARE AG,26.41,0.070531009
6/16/2014,SOFTWARE AG,27.44,0.112282124
6/9/2014,SOFTWARE AG,26.88,0.089582489
6/2/2014,SOFTWARE AG,27.17,0.101337657
5/26/2014,SOFTWARE AG,28.25,0.145115525
5/19/2014,SOFTWARE AG,28.18,0.142278071
5/12/2014,SOFTWARE AG,27.16,0.100932306
5/5/2014,SOFTWARE AG,27.04,0.096068099
4/28/2014,SOFTWARE AG,26.09,0.057559789
4/21/2014,SOFTWARE AG,26.26,0.06445075
4/14/2014,SOFTWARE AG,25.3,0.02553709
4/7/2014,SOFTWARE AG,25.19,0.021078233
3/31/2014,SOFTWARE AG,26.07,0.056749088
3/24/2014,SOFTWARE AG,25.89,0.049452777
3/17/2014,SOFTWARE AG,26.05,0.055938387
3/10/2014,SOFTWARE AG,27.01,0.094852047
3/3/2014,SOFTWARE AG,28.21,0.143494122
2/24/2014,SOFTWARE AG,28.38,0.150385083
2/17/2014,SOFTWARE AG,27.66,0.121199838
2/10/2014,SOFTWARE AG,27.09,0.098094852
2/3/2014,SOFTWARE AG,26.64,0.079854074
1/27/2014,SOFTWARE AG,27.1,0.098500203
1/20/2014,SOFTWARE AG,25.21,0.021888934
1/13/2014,SOFTWARE AG,25.94,0.05147953
1/6/2014,SOFTWARE AG,25.04,0.014997973
1/1/2014,SOFTWARE AG,24.67,0
